club|estadio|capacidad|aforo|fuente|temporada|fecha_carga
Club Sporting Cristal|Estadio Alberto Gallardo|18000|18000|Transfermarkt|2023|2026-06-11 21:31:12
Club Alianza Lima|Estadio Alejandro Villanueva|33938|33938|Transfermarkt|2023|2026-06-11 21:31:12
Universitario de Deportes|Estadio Monumental de Lima|80093|80093|Transfermarkt|2023|2026-06-11 21:31:12
FBC Melgar|Estadio Monumental de la UNSA|40370|40370|Transfermarkt|2023|2026-06-11 21:31:12
Club Cienciano|Estadio Garcilaso de la Vega|42056|42056|Transfermarkt|2023|2026-06-11 21:31:12
Universidad César Vallejo|Estadio César Acuña Peralta|2000|2000|Transfermarkt|2023|2026-06-11 21:31:12
Cusco FC|Estadio Inca Garcilaso de la Vega|45000|45000|Transfermarkt|2023|2026-06-11 21:31:12
Carlos A. Mannucci|Estadio Mansiche|24000|24000|Transfermarkt|2023|2026-06-11 21:31:12
Alianza Atlético Sullana|Estadio Campeones del 36|12000|12000|Transfermarkt|2023|2026-06-11 21:31:12
Sport Boys Association|Estadio Miguel Grau|17000|17000|Transfermarkt|2023|2026-06-11 21:31:12
CD Unión Comercio|Estadio Carlos Vidaurre García|12000|12000|Transfermarkt|2023|2026-06-11 21:31:12
Deportivo Garcilaso|Estadio Inca Garcilaso de la Vega|45000|45000|Transfermarkt|2023|2026-06-11 21:31:12
Club Atlético Grau|Estadio Campeones del 36|12000|12000|Transfermarkt|2023|2026-06-11 21:31:12
Deportivo Binacional|Estadio Guillermo Briceño Rosamedina|20000|20000|Transfermarkt|2023|2026-06-11 21:31:12
Deportivo Municipal|Estadio Municipal de Chorrillos|15000|15000|Transfermarkt|2023|2026-06-11 21:31:12
Universidad Técnica de Cajamarca|Estadio Héroes de San Ramón|18000|18000|Transfermarkt|2023|2026-06-11 21:31:12
Asociación Deportiva Tarma|Estadio Unión Tarma|9100|9100|Transfermarkt|2023|2026-06-11 21:31:12
Sport Huancayo|Estadio Huancayo|20000|20000|Transfermarkt|2023|2026-06-11 21:31:12
Academia Deportiva Cantolao|Estadio Hugo Sotil|13773|13773|Transfermarkt|2023|2026-06-11 21:31:12
