ano|club|jugadores_en_plantilla|edad_promedio|extranjeros|valor_medio|valor_total|fuente|temporada|fecha_carga
2024|Club Sporting Cristal|48|23.3|10|390 mil €|18,70 mill. €|Transfermarkt|2024|2026-06-11 21:32:20
2024|Universitario de Deportes|43|25.5|9|422 mil €|18,15 mill. €|Transfermarkt|2024|2026-06-11 21:32:20
2024|Club Alianza Lima|39|24.2|9|389 mil €|15,18 mill. €|Transfermarkt|2024|2026-06-11 21:32:20
2024|Universidad César Vallejo|35|26.3|7|354 mil €|12,38 mill. €|Transfermarkt|2024|2026-06-11 21:32:20
2024|Club Cienciano|33|25.7|9|355 mil €|11,70 mill. €|Transfermarkt|2024|2026-06-11 21:32:20
2024|FBC Melgar|32|25.1|11|362 mil €|11,58 mill. €|Transfermarkt|2024|2026-06-11 21:32:20
2024|Sport Boys Association|41|24.5|8|241 mil €|9,88 mill. €|Transfermarkt|2024|2026-06-11 21:32:20
2024|CD Unión Comercio|54|24.5|7|183 mil €|9,88 mill. €|Transfermarkt|2024|2026-06-11 21:32:20
2024|Sport Huancayo|41|27.3|6|238 mil €|9,75 mill. €|Transfermarkt|2024|2026-06-11 21:32:20
2024|Deportivo Garcilaso|35|26.5|11|269 mil €|9,43 mill. €|Transfermarkt|2024|2026-06-11 21:32:20
2024|CD Los Chankas|31|26.3|7|277 mil €|8,60 mill. €|Transfermarkt|2024|2026-06-11 21:32:20
2024|Cusco FC|32|25.9|8|268 mil €|8,58 mill. €|Transfermarkt|2024|2026-06-11 21:32:20
2024|Carlos A. Mannucci|35|25.1|9|236 mil €|8,28 mill. €|Transfermarkt|2024|2026-06-11 21:32:20
2024|Club Atlético Grau|30|24.6|6|258 mil €|7,73 mill. €|Transfermarkt|2024|2026-06-11 21:32:20
2024|Comerciantes Unidos|35|24.4|6|212 mil €|7,43 mill. €|Transfermarkt|2024|2026-06-11 21:32:20
2024|Alianza Atlético Sullana|29|24.9|7|252 mil €|7,30 mill. €|Transfermarkt|2024|2026-06-11 21:32:20
2024|Universidad Técnica de Cajamarca|35|26.5|8|209 mil €|7,30 mill. €|Transfermarkt|2024|2026-06-11 21:32:20
2024|Asociación Deportiva Tarma|31|25.8|6|229 mil €|7,10 mill. €|Transfermarkt|2024|2026-06-11 21:32:20
